Id,Zipcode,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone
8600000US21216,21216,ZCTA5 21216,25599,409,24692,26,48,0,17
8600000US21217,21217,ZCTA5 21217,40614,3725,35215,77,621,6,359
8600000US21218,21218,ZCTA5 21218,49259,14207,30541,325,2555,0,296
8600000US21219,21219,ZCTA5 21219,8927,8153,522,8,87,0,12
8600000US21220,21220,ZCTA5 21220,40399,30726,7618,111,828,18,221
8600000US21221,21221,ZCTA5 21221,40187,27847,9783,59,772,0,736
8600000US21222,21222,ZCTA5 21222,55043,43981,5902,358,1758,30,781
8600000US21223,21223,ZCTA5 21223,24879,4931,18231,230,324,0,176
8600000US21224,21224,ZCTA5 21224,49345,34761,9502,349,680,0,2931
8600000US21225,21225,ZCTA5 21225,33091,15322,14040,106,865,0,1300
8600000US21226,21226,ZCTA5 21226,7766,5907,1371,12,127,0,38
8600000US21227,21227,ZCTA5 21227,34584,24448,6636,29,1462,46,729
8600000US21228,21228,ZCTA5 21228,49527,33877,10758,254,2713,0,1018
8600000US21229,21229,ZCTA5 21229,46669,8102,35516,43,1213,21,239
8600000US21230,21230,ZCTA5 21230,34441,22753,9317,19,1026,8,376
8600000US21231,21231,ZCTA5 21231,17148,9996,5433,9,699,0,789
8600000US21234,21234,ZCTA5 21234,69316,45452,18471,57,3062,10,1004
8600000US21236,21236,ZCTA5 21236,37640,28192,4797,101,3001,6,516
8600000US21237,21237,ZCTA5 21237,30342,17143,9317,89,1894,57,723
8600000US21239,21239,ZCTA5 21239,31455,4383,25572,100,808,0,111
8600000US21240,21240,ZCTA5 21240,0,0,0,0,0,0,0
8600000US21244,21244,ZCTA5 21244,36697,5146,27161,84,2676,0,631
8600000US21250,21250,ZCTA5 21250,3026,1909,673,8,330,0,30
8600000US21251,21251,ZCTA5 21251,820,228,470,4,45,0,11
8600000US21252,21252,ZCTA5 21252,2683,1820,665,0,141,0,28
8600000US21286,21286,ZCTA5 21286,20051,16566,1972,26,1108,0,45
8600000US21401,21401,ZCTA5 21401,37482,27771,6602,8,799,0,1630
8600000US21402,21402,ZCTA5 21402,5878,4443,394,42,248,24,327
8600000US21403,21403,ZCTA5 21403,30453,21624,4725,0,728,0,2640
8600000US21405,21405,ZCTA5 21405,576,576,0,0,0,0,0
8600000US21409,21409,ZCTA5 21409,20153,18012,1130,39,509,0,146
8600000US21502,21502,ZCTA5 21502,43546,37295,4758,81,351,19,122
8600000US21520,21520,ZCTA5 21520,2081,2054,0,0,24,0,2
8600000US21521,21521,ZCTA5 21521,1256,1241,0,3,5,0,0
8600000US21522,21522,ZCTA5 21522,131,131,0,0,0,0,0
8600000US21523,21523,ZCTA5 21523,236,229,0,0,0,0,7
8600000US21524,21524,ZCTA5 21524,495,495,0,0,0,0,0
8600000US21529,21529,ZCTA5 21529,546,529,0,0,0,0,0
8600000US21530,21530,ZCTA5 21530,1685,1582,27,0,59,0,2
8600000US21531,21531,ZCTA5 21531,2280,2271,0,6,0,0,0
8600000US21532,21532,ZCTA5 21532,15586,13911,1033,34,209,19,37
8600000US21536,21536,ZCTA5 21536,4443,4341,38,5,0,0,0
8600000US21538,21538,ZCTA5 21538,565,560,0,0,0,0,0
8600000US21539,21539,ZCTA5 21539,2784,2691,66,3,3,0,0
8600000US21540,21540,ZCTA5 21540,91,91,0,0,0,0,0
8600000US21541,21541,ZCTA5 21541,1051,1024,9,0,18,0,0
8600000US21542,21542,ZCTA5 21542,642,619,0,0,5,0,0
8600000US21543,21543,ZCTA5 21543,76,76,0,0,0,0,0
8600000US21545,21545,ZCTA5 21545,2011,1941,32,2,0,0,9
8600000US21550,21550,ZCTA5 21550,14493,14045,141,2,60,20,15
8600000US21555,21555,ZCTA5 21555,1861,1771,86,4,0,0,0
8600000US21557,21557,ZCTA5 21557,2016,1995,0,0,0,0,0
8600000US21561,21561,ZCTA5 21561,2557,2497,39,0,11,0,0
8600000US21562,21562,ZCTA5 21562,2992,2983,3,3,0,0,0
