Id,Zipcode,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone
8600000US20678,20678,ZCTA5 20678,12285,8536,3152,0,161,0,3
8600000US20680,20680,ZCTA5 20680,1461,952,325,0,1,0,0
8600000US20684,20684,ZCTA5 20684,1116,841,144,0,8,0,0
8600000US20685,20685,ZCTA5 20685,6313,5164,723,47,44,0,154
8600000US20686,20686,ZCTA5 20686,1020,896,59,0,30,15,11
8600000US20687,20687,ZCTA5 20687,379,365,0,0,0,0,0
8600000US20688,20688,ZCTA5 20688,1559,1424,75,0,12,0,0
8600000US20689,20689,ZCTA5 20689,1440,1075,328,0,0,0,25
8600000US20690,20690,ZCTA5 20690,567,522,0,0,23,0,0
8600000US20692,20692,ZCTA5 20692,1676,1632,29,0,0,0,0
8600000US20693,20693,ZCTA5 20693,1243,957,149,78,0,0,0
8600000US20695,20695,ZCTA5 20695,4829,2236,2195,0,112,0,103
8600000US20701,20701,ZCTA5 20701,92,42,50,0,0,0,0
8600000US20705,20705,ZCTA5 20705,26658,8058,9774,178,4080,0,3721
8600000US20706,20706,ZCTA5 20706,38682,5978,26703,96,1492,0,3696
8600000US20707,20707,ZCTA5 20707,32099,12008,14070,156,2731,0,1968
8600000US20708,20708,ZCTA5 20708,25375,5666,15752,0,1529,0,1716
8600000US20710,20710,ZCTA5 20710,9559,1502,6072,0,175,0,1726
8600000US20711,20711,ZCTA5 20711,6586,5032,1039,9,91,0,288
8600000US20712,20712,ZCTA5 20712,9000,2811,4435,0,93,0,1322
8600000US20714,20714,ZCTA5 20714,4598,3871,157,15,46,0,309
8600000US20715,20715,ZCTA5 20715,26906,16759,7217,180,1064,16,586
8600000US20716,20716,ZCTA5 20716,21184,5950,13144,0,878,0,368
8600000US20720,20720,ZCTA5 20720,22097,5447,13361,53,2092,0,246
8600000US20721,20721,ZCTA5 20721,27847,2353,24023,96,702,0,147
8600000US20722,20722,ZCTA5 20722,5883,2323,2147,2,249,0,1080
8600000US20723,20723,ZCTA5 20723,31049,15211,8722,122,5005,9,399
8600000US20724,20724,ZCTA5 20724,17000,6575,8191,0,799,0,736
8600000US20732,20732,ZCTA5 20732,9861,8391,890,0,75,0,40
8600000US20733,20733,ZCTA5 20733,2747,2303,185,0,0,0,33
8600000US20735,20735,ZCTA5 20735,38237,3865,31933,55,1005,15,471
8600000US20736,20736,ZCTA5 20736,9517,8146,1007,23,245,0,18
8600000US20737,20737,ZCTA5 20737,21248,10651,7732,212,647,48,1304
8600000US20740,20740,ZCTA5 20740,29017,17247,5058,32,4249,22,1479
8600000US20742,20742,ZCTA5 20742,8574,5103,1741,10,1289,3,263
8600000US20743,20743,ZCTA5 20743,38788,3033,34728,113,85,18,208
8600000US20744,20744,ZCTA5 20744,51460,6710,37907,209,3258,10,1969
8600000US20745,20745,ZCTA5 20745,30260,2383,22827,0,1295,0,3059
8600000US20746,20746,ZCTA5 20746,27659,1917,24176,16,421,0,727
8600000US20747,20747,ZCTA5 20747,37597,2135,34410,180,179,0,175
8600000US20748,20748,ZCTA5 20748,38525,3270,33542,75,618,0,306
8600000US20751,20751,ZCTA5 20751,2315,2190,50,0,0,12,0
8600000US20754,20754,ZCTA5 20754,6809,5900,460,0,134,0,52
8600000US20755,20755,ZCTA5 20755,9809,6574,2091,10,273,0,89
8600000US20758,20758,ZCTA5 20758,486,428,58,0,0,0,0
8600000US20759,20759,ZCTA5 20759,3417,2632,283,0,371,0,0
8600000US20762,20762,ZCTA5 20762,3356,2142,573,191,103,0,151
8600000US20763,20763,ZCTA5 20763,2358,1407,608,15,237,0,11
8600000US20764,20764,ZCTA5 20764,4742,3900,798,0,0,0,14
8600000US20765,20765,ZCTA5 20765,578,506,72,0,0,0,0
8600000US20769,20769,ZCTA5 20769,6793,1715,4419,0,241,0,156
8600000US20770,20770,ZCTA5 20770,25405,7765,13231,38,2049,0,1367
8600000US20772,20772,ZCTA5 20772,44075,6962,34958,77,702,0,457
8600000US20774,20774,ZCTA5 20774,44182,1917,39572,82,1456,0,261
8600000US20776,20776,ZCTA5 20776,3339,3060,230,0,0,0,0
8600000US20777,20777,ZCTA5 20777,3281,3014,135,0,116,0,0
8600000US20778,20778,ZCTA5 20778,2114,1969,138,0,0,0,0
8600000US20779,20779,ZCTA5 20779,1314,1266,33,0,9,0,0
8600000US20781,20781,ZCTA5 20781,11841,6185,3532,17,86,0,1727
8600000US20782,20782,ZCTA5 20782,33480,7462,15622,234,1050,0,8370
8600000US20783,20783,ZCTA5 20783,49006,10768,11770,367,1693,0,23027
8600000US20784,20784,ZCTA5 20784,29383,7463,17892,27,732,75,2072
8600000US20785,20785,ZCTA5 20785,35901,3677,30300,157,335,0,914
8600000US20794,20794,ZCTA5 20794,13917,6540,5556,15,789,0,729
8600000US20812,20812,ZCTA5 20812,255,230,4,0,14,0,0
8600000US20814,20814,ZCTA5 20814,28154,22312,1400,29,3175,71,208
8600000US20815,20815,ZCTA5 20815,30533,26508,821,4,1974,0,319
8600000US20816,20816,ZCTA5 20816,16611,14861,262,7,973,0,55
8600000US20817,20817,ZCTA5 20817,36071,28666,857,33,4923,0,381
8600000US20818,20818,ZCTA5 20818,1948,1758,16,0,96,0,0
8600000US20832,20832,ZCTA5 20832,25999,17963,3604,37,3031,19,354
8600000US20833,20833,ZCTA5 20833,7832,5610,891,23,958,0,77
8600000US20837,20837,ZCTA5 20837,5935,4894,505,0,426,0,79
8600000US20838,20838,ZCTA5 20838,200,193,2,0,5,0,0
8600000US20839,20839,ZCTA5 20839,111,99,5,0,7,0,0
8600000US20841,20841,ZCTA5 20841,10546,4441,1131,78,4185,0,263
8600000US20842,20842,ZCTA5 20842,1879,1735,88,0,39,0,8
8600000US20850,20850,ZCTA5 20850,46711,28104,4761,87,10822,0,1548
8600000US20851,20851,ZCTA5 20851,14352,8195,1326,0,2343,0,1828
8600000US20852,20852,ZCTA5 20852,44596,30595,3244,148,7997,42,1003
8600000US20853,20853,ZCTA5 20853,30073,18760,3735,44,3542,91,2828
8600000US20854,20854,ZCTA5 20854,50369,36503,2574,84,9676,0,145
8600000US20855,20855,ZCTA5 20855,14178,9158,1419,32,2816,0,84
8600000US20860,20860,ZCTA5 20860,2347,1427,513,0,335,0,0
8600000US20861,20861,ZCTA5 20861,1999,1588,257,0,113,0,0
8600000US20862,20862,ZCTA5 20862,154,124,19,0,0,0,0
8600000US20866,20866,ZCTA5 20866,12900,4036,5249,87,2110,0,576
8600000US20868,20868,ZCTA5 20868,1199,542,94,0,563,0,0
8600000US20871,20871,ZCTA5 20871,15246,8046,1718,99,4268,0,198
8600000US20872,20872,ZCTA5 20872,13238,10647,1034,12,1016,0,110
8600000US20874,20874,ZCTA5 20874,57979,29448,13889,379,9587,0,2062
8600000US20876,20876,ZCTA5 20876,26300,12256,5480,120,5440,0,1467
8600000US20877,20877,ZCTA5 20877,36816,15747,6907,69,5838,0,6546
8600000US20878,20878,ZCTA5 20878,63855,36968,6495,346,15049,0,1781
8600000US20879,20879,ZCTA5 20879,25592,11297,6109,172,3794,0,2775
8600000US20880,20880,ZCTA5 20880,538,431,54,0,25,0,0
8600000US20882,20882,ZCTA5 20882,14397,11556,951,22,717,20,343
8600000US20886,20886,ZCTA5 20886,34337,17467,7972,41,3917,3,3065
8600000US20895,20895,ZCTA5 20895,19284,15610,921,55,1043,0,947
8600000US20896,20896,ZCTA5 20896,1005,921,42,0,26,0,0
8600000US20899,20899,ZCTA5 20899,131,31,57,0,43,0,0
8600000US20901,20901,ZCTA5 20901,36308,18800,8485,219,3193,49,4041
8600000US20902,20902,ZCTA5 20902,50980,22301,9065,171,5635,0,11742
8600000US20903,20903,ZCTA5 20903,25521,4628,6685,36,2532,0,10909
8600000US20904,20904,ZCTA5 20904,56395,15841,25585,59,7588,19,4195
8600000US20905,20905,ZCTA5 20905,17867,8326,5010,0,2999,0,1042
8600000US20906,20906,ZCTA5 20906,68733,25405,18863,89,7602,41,14262
8600000US20910,20910,ZCTA5 20910,39689,21394,11447,141,2722,36,2321
8600000US20912,20912,ZCTA5 20912,24993,10789,9961,31,1010,0,2389
8600000US21001,21001,ZCTA5 21001,22445,13901,6653,72,521,0,513
8600000US21005,21005,ZCTA5 21005,2497,1312,656,0,129,4,111
8600000US21009,21009,ZCTA5 21009,29587,23168,3736,20,1567,0,404
8600000US21010,21010,ZCTA5 21010,93,56,10,0,13,0,4
8600000US21012,21012,ZCTA5 21012,21298,19031,625,0,646,67,187
8600000US21013,21013,ZCTA5 21013,5008,4900,0,0,86,0,0
8600000US21014,21014,ZCTA5 21014,35085,31447,1607,0,1056,0,125
8600000US21015,21015,ZCTA5 21015,28053,24715,1552,16,899,38,285
